Tick;Step;Energy;Government_announce_date;Human_gain_by_age;Immune;Infected;Initial_infected_rate;obedient;Obey_ratio;Rule;Ticks;Vulnerable_class_ratio;0_Position;1_Position;ID
0;0;24;96;10;False;False;1;False;60;;0;30;73.0;32.0;08026363-e869-4516-83fa-b4fdf0dbe520
0;0;16;96;10;False;False;1;False;60;;0;30;75.0;20.0;a23bf989-9c02-4b3c-bce9-ab5de6627612
0;0;17;96;10;False;False;1;False;60;;0;30;68.0;81.0;f95c885a-0892-43b3-9ad8-16d2a0f0bca8
0;0;18;96;10;False;False;1;False;60;;0;30;10.0;22.0;b4fb0553-576d-4233-97eb-40ae7adb564f
0;0;22;96;10;False;False;1;False;60;;0;30;20.0;61.0;518a3615-9912-461b-9a78-e96c90db8afa
0;0;16;96;10;False;False;1;False;60;;0;30;24.0;9.0;b4258a03-02ab-49e8-a273-fcdcbb10674d
0;0;23;96;10;False;False;1;False;60;;0;30;13.0;55.0;dd857218-61c0-4f10-bda8-c5d28b460f84
0;0;16;96;10;False;False;1;False;60;;0;30;54.0;99.0;0bd2c8af-d9e5-46bb-a14c-24c7d85d8eb5
0;0;24;96;10;False;False;1;False;60;;0;30;84.0;19.0;5f609921-0739-43fb-bb92-ce2b8287837c
0;0;16;96;10;False;False;1;False;60;;0;30;24.0;43.0;924c0822-47ae-43f0-9b33-5b5542d2d23b
0;0;16;96;10;False;False;1;False;60;;0;30;2.0;92.0;b6f32d1a-bfc7-4888-b3fd-cf98f9482c5f
0;0;16;96;10;False;False;1;False;60;;0;30;2.0;26.0;a01b0192-d59a-4942-94e6-b516d9272c30
0;0;15;96;10;False;False;1;False;60;;0;30;39.0;90.0;ac5acd6c-7987-4d11-b783-e5e525aa5e46
0;0;22;96;10;False;False;1;False;60;;0;30;42.0;72.0;d585783b-fb8e-43de-862d-93b089a0072b
0;0;23;96;10;False;False;1;False;60;;0;30;10.0;11.0;49fce179-5cb5-4233-8920-29f7caf9b26f
0;0;1;96;10;False;False;1;False;60;;0;30;26.0;33.0;8ce64070-83d0-415f-b054-7b9c11858c24
0;0;23;96;10;False;False;1;False;60;;0;30;90.0;60.0;00e06086-6ba7-4df9-9656-b09df0bca5da
0;0;17;96;10;False;False;1;False;60;;0;30;95.0;62.0;b9d5947b-f76d-424a-ba9b-9400c52e37d8
0;0;5;96;10;False;False;1;False;60;;0;30;34.0;22.0;4c8e5f9d-06be-4d1b-92c2-1a742d72d2d6
0;0;5;96;10;False;False;1;False;60;;0;30;45.0;82.0;2ed11823-c03c-4896-a446-3f84ea1460fc
0;0;16;96;10;False;False;1;False;60;;0;30;26.0;72.0;f8f50ac4-e286-4682-bde1-30ccf56bf428
0;0;3;96;10;False;False;1;False;60;;0;30;72.0;78.0;dd9531a0-1cca-4f49-ad22-75ac83ffae3e
0;0;20;96;10;False;False;1;False;60;;0;30;56.0;26.0;b5c85855-23bc-4d9c-9207-7d525117db82
0;0;16;96;10;False;False;1;False;60;;0;30;40.0;76.0;dc31545a-60d8-488e-91bb-cb7efff7ede8
0;0;1;96;10;False;False;1;False;60;;0;30;78.0;60.0;d39f60a0-95f7-4b44-aa91-2a6fa3a30e89
0;0;17;96;10;False;False;1;False;60;;0;30;78.0;81.0;81a5e3e3-1cac-4549-b9e7-feabff320cdb
0;0;23;96;10;False;False;1;False;60;;0;30;2.0;19.0;e7ad3228-ed02-4bb1-b752-cd5a64ece177
0;0;4;96;10;False;False;1;False;60;;0;30;98.0;21.0;684dc9d5-6053-44f0-92da-44d642beb35b
0;0;19;96;10;False;False;1;False;60;;0;30;29.0;58.0;e60bd224-82a6-4637-b731-652c78b7f48e
0;0;18;96;10;False;False;1;False;60;;0;30;61.0;20.0;3a5f56bd-c744-4371-8dad-b91157206eb0
0;0;8;96;10;False;False;1;False;60;;0;30;17.0;80.0;98efb140-62c7-4617-a8d5-dd370b2cce95
0;0;9;96;10;False;False;1;False;60;;0;30;51.0;78.0;bfa42630-d74c-4c72-a04b-0e97d99c8a13
0;0;20;96;10;False;False;1;False;60;;0;30;20.0;69.0;01588865-e7ff-4c2e-95cc-5d25ffa75243
0;0;21;96;10;False;False;1;False;60;;0;30;26.0;35.0;afd92d5e-44fe-4003-96f3-26da0bee518e
0;0;19;96;10;False;False;1;False;60;;0;30;6.0;2.0;ec5a9742-002d-4988-b28b-8effc4a09702
0;0;19;96;10;False;False;1;False;60;;0;30;20.0;76.0;f3112c1d-67b6-442a-b1bd-7fbcbb0437cf
0;0;21;96;10;False;False;1;False;60;;0;30;98.0;10.0;fd8df75b-14db-4e51-9613-7ade618ca3ce
0;0;24;96;10;False;False;1;False;60;;0;30;62.0;74.0;8952b95d-8e87-437a-bde9-85e322ded4a0
0;0;19;96;10;False;False;1;False;60;;0;30;66.0;21.0;920926a3-6829-4b29-8070-ac2def1aa2c1
0;0;3;96;10;False;False;1;False;60;;0;30;73.0;93.0;275ee437-8c11-46f6-957f-9f89f0a45af5
